# New slice
28 32
27 32
26 31
25 31
24 30
23 29
22 28
21 27
20 27
19 26
18 25
17 25
16 24
16 24
15 25
14 24
13 25
12 24
12 25
11 24
# New slice
22 34
22 34
21 33
20 32
19 31
18 30
18 29
17 28
16 28
15 27
14 27
14 26
13 25
12 24
11 25
10 24
9 23
9 24
10 25
9 24
# New slice
47 14
46 14
45 15
44 15
43 16
42 17
42 18
41 19
40 20
39 21
38 22
37 22
36 23
35 24
35 24
34 24
34 25
34 24
33 25
32 24
# New slice
2 48
3 47
4 46
5 45
6 44
7 43
8 42
9 41
10 40
11 39
11 39
11 39
11 39
11 38
12 37
13 37
14 36
15 35
16 34
17 33
# New slice
44 20
44 20
43 21
43 22
42 23
41 24
40 25
39 24
38 25
37 24
37 24
36 25
35 25
35 24
34 25
33 24
32 24
31 25
30 26
29 27
# New slice
42 33
41 33
40 33
39 32
38 31
38 31
37 31
36 30
36 30
35 29
35 29
34 28
33 28
32 27
31 26
30 27
29 28
28 29
27 30
26 30
# New slice
48 23
48 23
48 24
47 24
47 24
46 25
46 26
45 27
44 27
43 27
42 28
41 28
41 28
40 28
39 27
38 26
37 25
36 24
36 25
36 24
# New slice
22 18
22 18
21 18
20 19
20 20
19 21
18 22
17 23
17 24
16 25
15 24
14 25
13 24
12 25
12 24
11 25
10 25
9 24
10 25
9 24
# New slice
0 20
1 20
2 21
3 22
3 23
4 24
4 23
4 23
4 23
4 23
5 24
6 25
7 24
8 25
8 25
9 24
10 25
9 24
10 25
10 25
# New slice
39 42
38 43
37 44
36 45
35 44
34 43
33 43
32 43
31 42
30 41
29 40
28 39
28 38
27 37
26 36
25 35
24 34
23 33
22 33
21 32
# New slice
49 47
49 47
48 47
47 46
46 45
45 44
44 45
43 44
42 45
41 44
40 45
40 44
40 45
40 45
39 44
38 45
37 44
36 45
35 45
34 44
# New slice
38 43
37 44
36 44
36 44
35 43
34 43
34 42
34 41
33 40
32 39
32 38
31 37
30 36
29 35
28 35
27 34
27 34
26 35
25 34
24 33
# New slice
12 34
11 33
10 32
10 32
9 31
9 31
8 30
7 29
8 29
7 28
7 27
8 26
9 25
10 25
9 24
10 25
9 24
10 24
9 25
10 24
# New slice
47 23
46 24
45 24
44 25
43 26
43 27
42 28
41 27
40 26
39 25
38 24
38 25
37 24
36 25
35 24
34 25
33 24
33 25
33 24
32 24
# New slice
38 25
37 24
36 24
35 25
34 26
33 25
32 24
32 25
31 24
30 25
29 26
28 27
27 28
26 29
26 29
25 29
24 30
24 30
23 29
23 28
# New slice
24 30
23 29
22 28
21 27
20 26
19 25
18 24
17 25
16 24
15 25
14 24
13 25
13 24
12 25
12 25
11 24
10 25
9 24
10 25
10 24
# New slice
17 48
16 48
16 48
15 47
14 46
13 45
12 44
13 43
14 42
14 41
15 40
16 39
17 38
18 37
19 36
19 35
20 34
20 33
19 32
19 32
# New slice
45 45
44 44
43 45
42 44
41 45
40 44
39 45
39 45
38 45
37 44
36 45
35 44
35 43
34 42
33 41
32 40
31 39
30 38
30 37
29 36
# New slice
49 24
49 23
48 23
48 24
47 25
46 26
45 27
44 27
43 27
42 28
41 27
40 26
39 25
38 24
38 24
37 25
36 24
35 25
35 25
34 24
# New slice
14 30
13 29
13 29
12 28
11 27
10 26
10 25
10 25
9 24
10 25
9 24
9 25
10 24
9 24
10 25
9 24
9 24
9 24
10 25
10 24
# New slice
11 13
10 14
9 15
9 16
8 16
7 17
6 17
5 18
6 19
5 20
5 20
6 21
7 22
8 23
9 24
9 25
10 24
9 25
10 24
9 25
# New slice
46 12
45 13
44 13
43 14
43 14
42 15
41 15
40 16
39 16
38 17
38 17
38 17
37 18
36 18
36 19
35 20
35 20
35 21
34 22
33 23
# New slice
21 47
20 46
20 45
19 44
18 43
18 43
17 42
16 41
17 40
18 39
19 38
20 37
21 36
20 35
19 34
19 34
18 33
17 32
16 31
15 30
# New slice
39 26
38 25
37 24
36 24
35 24
34 25
33 24
32 25
32 24
31 25
30 26
29 27
28 28
27 29
26 30
25 31
25 30
25 30
24 29
23 30
# New slice
6 45
7 44
8 44
9 44
9 44
10 43
10 43
10 43
11 42
12 41
12 40
12 40
12 40
13 39
13 39
14 38
14 38
15 37
16 36
17 35
# New slice
36 1
35 2
35 3
34 4
34 4
33 5
32 6
31 7
31 8
30 9
29 10
28 11
27 12
26 13
25 14
24 15
24 16
23 16
22 17
22 18
# New slice
4 19
5 20
6 21
7 21
8 22
9 23
10 24
9 25
9 24
9 24
8 24
9 25
10 24
9 25
9 25
10 24
9 24
9 25
10 24
9 25
# New slice
32 2
31 3
31 4
30 4
30 4
30 4
29 5
28 6
28 6
27 7
27 8
26 9
25 10
24 11
23 12
22 13
21 14
20 15
19 16
18 17
# New slice
12 7
12 7
12 7
12 7
11 8
10 9
10 10
10 11
9 12
9 12
8 13
8 13
7 14
6 15
5 15
6 16
6 16
6 17
5 18
6 19
# New slice
25 15
24 16
24 17
23 18
22 19
21 20
20 20
20 21
19 22
18 23
17 24
17 24
17 25
16 24
15 25
14 24
13 25
12 24
11 24
10 25
# New slice
12 41
13 40
14 39
14 38
15 37
16 36
17 35
18 34
17 33
16 32
15 31
14 30
13 29
12 28
11 28
10 27
10 27
10 26
11 25
10 24
# New slice
32 9
31 10
31 11
30 12
29 13
28 13
27 14
26 15
25 16
24 17
24 18
23 19
22 20
21 21
20 22
19 23
18 24
17 25
16 24
15 25
# New slice
7 16
6 16
6 17
5 18
6 19
5 20
5 20
5 21
6 22
7 23
8 24
9 25
10 25
9 24
10 25
9 24
10 25
9 24
10 25
9 24
# New slice
23 12
22 13
21 14
22 14
21 15
20 16
19 17
18 18
17 19
16 20
16 20
16 21
15 22
14 23
14 24
13 25
12 24
11 25
10 24
9 25
# New slice
11 33
10 32
9 31
8 30
8 29
7 28
7 27
7 26
