#Observed Trajectory.
15 34
15 35
14 36
13 37
12 38
11 39
11 40
12 41
13 42
13 42
14 43
16 44
14 44
16 45
16 45
15 44
14 43
16 45
14 45
14 46
#Observed Trajectory.
18 2
19 3
20 3
21 2
22 3
23 2
23 2
24 2
25 1
27 2
26 2
27 1
28 2
29 1
30 0
30 1
30 0
30 1
30 1
31 0
#Observed Trajectory.
24 35
25 37
26 37
27 39
28 38
29 38
30 39
30 39
29 40
29 40
30 40
29 39
30 39
29 39
30 40
28 39
30 39
29 40
30 39
29 40
#Observed Trajectory.
43 27
42 28
41 29
40 30
39 30
38 31
38 32
37 32
36 33
35 34
34 35
34 36
33 37
32 37
31 39
30 39
29 40
30 39
29 40
30 40
#Observed Trajectory.
1 31
2 32
3 33
4 34
5 35
6 35
7 35
8 37
8 39
9 39
10 40
10 41
12 42
13 42
14 43
15 44
15 44
14 44
14 45
15 44
#Observed Trajectory.
23 17
22 18
21 19
20 20
19 21
20 22
19 22
20 24
19 25
20 26
19 27
19 27
18 28
19 29
20 30
20 31
19 32
19 33
19 33
20 33
#Observed Trajectory.
34 23
32 24
33 25
32 26
31 26
30 27
29 28
28 29
27 29
26 30
25 31
24 32
23 33
22 33
21 35
20 36
19 37
18 38
17 39
16 40
#Observed Trajectory.
9 40
9 41
10 42
11 43
12 43
13 44
14 44
15 45
14 44
15 45
14 44
15 45
14 44
15 45
14 45
14 43
15 44
14 44
15 45
15 45
#Observed Trajectory.
15 8
14 8
13 9
12 11
12 10
11 11
10 12
9 13
10 13
8 14
10 15
10 16
11 16
9 17
10 18
9 19
8 19
7 19
7 20
6 20
#Observed Trajectory.
22 21
22 22
21 23
20 24
19 25
20 26
19 27
19 28
18 29
19 30
21 31
19 32
19 33
19 34
20 35
19 36
18 37
17 38
17 38
17 39
#Observed Trajectory.
42 35
41 36
40 36
39 36
39 36
39 36
38 37
37 38
36 39
35 40
34 39
33 40
33 40
32 39
31 40
30 40
29 39
29 38
30 39
29 40
#Observed Trajectory.
35 44
34 44
33 43
33 44
32 42
31 41
30 41
29 40
30 39
30 40
29 39
29 40
30 39
29 40
30 39
29 40
30 39
29 40
30 39
29 40
#Observed Trajectory.
8 36
9 37
10 38
10 39
11 39
12 40
13 41
