#Observed Trajectory.
24 25
23 24
22 24
21 23
21 22
19 21
18 21
17 20
16 19
15 18
14 18
14 17
14 17
13 16
13 16
12 15
12 14
13 13
13 12
14 12
13 11
14 11
15 11
14 10
15 10
15 11
14 10
15 10
15 11
14 10
15 10
14 10
15 10
13 10
15 10
14 10
14 10
16 10
15 10
14 9
#Observed Trajectory.
48 10
47 10
46 10
45 10
45 11
45 12
44 12
43 12
41 11
42 10
41 11
40 9
39 8
38 7
37 6
37 5
37 5
37 6
36 4
35 3
35 2
34 3
34 2
33 2
32 1
31 1
30 0
30 1
29 0
29 2
29 1
30 1
29 0
29 1
30 1
29 2
29 0
29 1
30 1
29 0
#Observed Trajectory.
22 32
22 33
21 33
20 33
19 33
18 33
16 33
16 33
15 33
15 33
13 33
12 33
12 34
11 34
10 34
8 34
9 35
6 35
7 35
7 36
6 38
5 37
4 37
3 38
3 38
2 39
1 40
0 40
1 40
0 40
0 40
1 42
1 41
0 42
1 41
1 42
0 41
0 43
0 43
0 42
#Observed Trajectory.
33 7
32 6
31 6
31 5
29 5
28 4
27 3
27 1
27 2
28 1
28 0
28 1
29 1
30 1
29 0
28 0
29 1
30 1
29 0
29 0
27 0
28 0
28 1
29 1
30 1
29 0
29 1
30 1
29 0
28 0
28 0
28 2
29 1
29 1
29 1
30 1
29 0
29 2
28 0
28 1
#Observed Trajectory.
42 1
41 1
40 1
39 1
38 1
37 1
35 1
35 1
35 0
35 1
34 1
33 1
32 0
33 1
32 0
32 2
31 1
30 0
30 1
29 0
29 0
28 0
28 1
29 1
30 1
28 0
27 0
27 1
28 0
27 1
28 1
29 1
30 1
29 0
29 1
29 2
28 1
29 1
30 1
29 0
#Observed Trajectory.
6 14
6 14
7 14
8 14
9 14
9 14
9 15
9 13
10 13
10 12
11 12
12 10
12 10
13 10
14 10
15 10
16 10
15 10
14 10
15 10
15 11
15 10
14 10
15 10
15 10
15 9
14 9
15 9
14 9
14 8
14 9
14 8
15 8
14 9
14 9
14 8
15 8
14 7
13 10
14 9
#Observed Trajectory.
26 32
27 32
26 31
26 30
25 29
25 29
24 28
23 27
22 25
21 26
