#Observed Trajectory.
7 2
8 2
8 1
9 1
10 1
11 1
12 1
13 1
14 1
15 1
16 1
17 1
17 1
17 1
18 1
19 1
20 1
21 2
22 1
22 0
22 2
22 0
22 1
22 1
23 1
24 1
25 1
26 1
27 1
26 1
27 1
27 0
27 1
27 2
28 2
28 3
29 3
30 1
31 2
32 1
#Observed Trajectory.
38 26
38 27
36 27
35 28
34 29
33 29
32 30
31 31
30 32
29 33
28 34
29 35
30 36
29 36
30 37
29 38
30 38
29 38
30 39
30 38
29 38
30 38
30 40
29 39
30 39
29 39
30 39
29 39
30 39
29 39
29 39
29 39
30 39
30 40
30 39
29 39
30 39
29 39
29 37
28 39
#Observed Trajectory.
31 3
32 2
33 1
34 1
35 1
34 1
34 1
34 2
34 1
34 1
35 1
34 1
34 1
35 1
34 1
35 1
34 1
35 1
34 1
35 1
35 0
35 1
34 1
34 1
34 2
34 2
33 1
34 1
35 2
35 0
35 1
35 0
35 1
34 1
34 0
34 1
35 1
34 1
33 1
35 1
#Observed Trajectory.
39 29
38 28
37 30
36 31
34 32
35 33
33 34
32 35
31 36
30 37
29 38
29 37
28 38
29 38
30 38
29 38
30 38
29 38
29 38
30 38
29 39
30 38
29 40
29 39
30 40
30 39
29 39
30 39
30 39
28 39
28 39
28 38
29 38
30 38
29 39
30 38
29 39
30 39
29 39
30 39
#Observed Trajectory.
4 24
5 25
4 26
5 27
5 27
4 28
5 29
4 30
4 31
4 31
3 32
5 32
5 32
6 32
7 32
7 33
8 34
7 35
8 36
9 37
10 38
10 39
11 39
12 41
13 42
14 43
15 43
14 44
14 44
14 44
13 44
15 44
14 44
15 44
15 44
14 44
15 44
14 44
15 43
14 45
#Observed Trajectory.
41 41
40 41
40 42
39 42
38 42
38 42
37 42
36 42
35 41
34 40
34 39
33 39
32 39
31 39
30 39
29 39
30 39
29 39
29 40
30 40
29 39
30 39
30 39
29 39
30 39
30 40
29 39
30 39
30 39
29 39
30 39
29 39
30 39
30 39
29 39
30 39
29 39
30 39
29 39
30 39
#Observed Trajectory.
30 37
29 37
29 38
29 38
30 38
29 39
30 39
30 39
30 39
30 39
30 39
28 39
29 39
29 38
29 39
29 40
30 40
29 39
30 39
29 39
29 39
30 39
30 40
29 39
28 38
30 37
29 36
29 38
30 38
29 38
30 38
29 39
30 39
30 40
30 39
29 39
30 39
30 40
29 39
30 39
#Observed Trajectory.
35 25
34 26
32 27
32 28
31 29
30 30
29 31
28 32
28 32
26 34
28 35
29 37
28 36
29 37
28 38
28 39
29 39
29 40
30 40
30 40
29 39
30 40
29 39
29 39
30 39
29 39
30 39
29 39
30 39
29 39
30 39
29 39
31 39
30 38
30 38
29 39
30 39
29 39
30 39
29 39
#Observed Trajectory.
13 12
14 12
13 12
12 13
12 13
11 14
10 14
10 13
9 14
10 14
10 13
9 14
9 13
9 14
10 14
9 14
10 14
9 13
10 14
9 13
10 14
9 14
9 15
10 15
9 15
10 15
10 15
9 15
10 15
10 16
9 15
10 16
10 14
9 14
9 13
9 14
9 15
10 16
10 14
9 15
#Observed Trajectory.
1 48
2 47
3 47
3 46
4 45
5 45
5 45
7 45
8 45
9 45
9 44
10 44
10 44
10 43
11 43
12 43
12 43
13 43
14 43
15 43
14 44
15 44
14 44
15 44
14 44
15 43
14 45
15 45
14 44
15 44
13 44
15 44
15 44
14 44
14 44
14 45
15 45
14 44
15 44
14 44
#Observed Trajectory.
33 49
33 48
32 47
32 45
31 45
30 44
30 43
29 43
29 42
30 41
29 40
29 39
29 40
30 40
29 40
29 41
28 40
28 41
29 40
30 40
29 39
29 39
29 38
29 37
28 38
29 38
30 38
30 38
29 39
31 39
29 39
30 39
30 38
29 39
30 39
30 39
29 38
30 38
29 39
30 39
#Observed Trajectory.
39 19
38 20
37 21
