# New slice
8 42
7 42
6 42
6 41
5 40
4 39
3 38
3 38
3 37
2 36
1 35
0 34
1 34
0 33
0 32
1 32
0 31
1 31
0 30
1 30
1 30
0 29
1 29
0 29
0 29
0 28
0 28
0 27
1 27
0 26
# New slice
10 42
11 42
12 42
13 42
14 42
15 42
16 42
16 41
17 41
18 41
19 41
20 41
21 41
21 42
22 42
23 42
24 41
25 40
24 40
25 40
25 40
24 40
25 40
25 41
24 40
25 40
25 40
25 41
24 40
25 40
# New slice
43 31
42 30
42 30
41 29
41 29
42 28
43 27
43 27
43 27
44 26
44 25
43 25
44 25
44 24
43 24
44 24
44 24
43 24
43 23
44 23
43 24
44 24
44 23
44 23
43 23
44 23
43 24
43 25
44 25
44 24
# New slice
18 22
17 21
17 21
17 20
16 19
15 18
14 17
13 16
12 15
11 15
10 14
9 13
9 12
9 11
9 11
8 11
7 11
6 11
5 11
5 11
4 11
3 10
2 10
1 10
1 9
0 9
1 9
0 9
0 9
0 9
# New slice
21 43
20 43
19 44
20 44
19 44
20 44
19 44
20 44
19 44
20 44
21 44
20 45
19 44
20 44
19 44
20 44
19 44
19 43
20 43
20 44
20 44
19 44
20 44
19 44
20 44
19 44
19 43
20 43
19 44
20 44
# New slice
13 46
13 45
14 45
15 45
15 45
16 45
17 45
17 46
18 46
19 46
20 45
20 45
19 44
20 44
19 44
19 44
20 44
19 44
20 44
19 44
20 44
19 44
19 44
20 44
19 44
20 44
19 44
20 44
19 44
20 44
# New slice
38 12
37 12
36 12
35 12
34 11
33 11
32 11
31 11
30 10
30 9
29 10
29 11
29 12
30 11
29 10
30 10
30 9
30 9
29 9
30 9
30 9
29 9
30 9
29 9
29 9
29 9
30 9
30 9
30 10
29 10
# New slice
21 35
22 34
22 34
23 33
24 32
23 31
24 30
25 30
24 30
24 30
24 29
23 29
23 29
24 29
25 29
25 29
24 29
24 30
25 30
24 30
25 30
24 30
25 30
24 30
24 31
25 30
24 30
25 30
24 30
24 30
# New slice
17 14
16 14
16 13
16 12
15 12
15 13
14 13
13 13
12 13
12 14
12 15
11 14
10 13
10 13
10 13
9 13
8 12
8 12
7 12
6 11
5 11
5 10
4 10
3 10
3 9
2 9
1 10
0 10
1 10
0 10
# New slice
45 23
45 23
44 24
43 24
44 24
44 23
44 24
43 24
43 23
44 23
43 24
44 24
43 25
43 26
43 25
44 25
43 25
44 25
43 25
44 25
44 24
43 24
42 24
43 24
44 24
43 24
44 24
43 24
44 24
43 24
# New slice
11 3
10 3
9 3
8 3
7 3
6 4
5 4
4 5
3 6
2 7
1 8
0 9
0 10
1 10
0 10
1 10
1 9
0 9
0 10
0 9
1 9
0 9
1 9
0 9
0 8
1 8
0 9
1 9
1 8
0 9
# New slice
45 6
44 6
44 6
44 5
43 5
42 5
42 6
41 6
40 6
39 6
38 6
37 6
36 6
35 6
34 6
33 7
32 8
31 9
30 9
29 10
30 10
30 10
29 10
30 10
29 10
29 11
30 11
29 10
30 10
29 10
# New slice
48 28
48 27
47 26
46 25
45 25
44 25
43 25
43 25
44 25
44 25
44 25
43 25
42 25
43 25
44 25
43 25
44 25
43 25
44 25
43 25
44 25
43 25
44 25
43 25
44 25
43 25
43 26
42 26
43 26
43 26
# New slice
39 22
40 23
40 23
40 22
41 23
42 24
43 24
44 24
43 24
43 24
44 24
43 24
44 24
44 23
43 23
44 23
43 23
43 23
43 23
43 24
44 24
43 24
44 24
43 24
44 24
44 24
44 23
43 24
44 24
43 24
# New slice
32 38
31 38
31 39
30 39
30 39
30 38
29 38
28 38
27 39
26 39
25 39
24 39
25 39
25 38
24 39
25 39
24 39
25 39
24 39
25 39
25 40
24 40
24 39
25 39
24 39
25 39
24 39
24 39
25 39
24 39
# New slice
6 10
6 9
