# New slice
18 33
18 33
19 32
20 31
20 30
19 29
18 28
17 27
17 26
16 26
15 25
14 24
14 24
15 25
14 24
15 25
15 24
14 25
14 25
14 24
# New slice
33 41
32 40
31 39
30 38
29 37
28 37
27 36
26 35
25 34
25 33
25 32
25 31
24 30
23 29
22 29
22 29
21 30
21 30
20 29
19 28
# New slice
47 0
47 0
47 1
46 1
45 2
44 3
43 3
42 4
41 5
40 6
40 6
39 7
40 7
39 8
39 9
38 10
37 10
36 10
36 10
35 10
# New slice
41 14
40 13
40 13
40 12
39 11
38 10
37 10
36 11
35 12
35 12
35 12
34 13
33 14
33 15
32 16
31 16
30 17
29 17
28 18
27 19
# New slice
47 35
46 36
45 35
45 35
44 36
43 37
42 38
41 38
40 38
39 39
39 40
40 39
39 40
40 39
40 40
39 40
39 39
38 39
39 39
38 38
# New slice
33 36
33 36
32 35
31 34
30 34
30 34
29 33
28 32
27 31
26 30
25 29
24 30
24 30
24 29
23 29
22 30
21 29
21 28
20 29
20 28
# New slice
47 38
46 37
45 36
45 37
44 38
43 39
42 40
41 39
40 39
39 40
40 39
39 40
40 39
40 40
39 40
40 40
39 40
40 39
39 40
40 39
# New slice
28 17
28 17
27 18
26 18
25 19
24 20
23 21
22 21
21 22
21 22
21 23
21 24
21 25
21 26
21 26
21 26
20 27
19 28
18 27
17 26
# New slice
18 6
19 7
19 8
19 9
19 9
20 10
21 11
22 12
23 13
22 14
22 15
21 16
21 17
20 18
19 19
18 20
18 21
17 22
17 22
17 23
# New slice
6 17
7 18
8 19
9 20
10 21
11 22
12 22
13 23
14 24
15 25
15 24
14 24
14 25
15 24
14 25
15 24
14 25
15 24
14 23
15 24
# New slice
33 43
32 42
31 41
31 40
30 39
29 38
28 38
27 37
26 36
25 35
24 34
24 33
24 32
23 31
22 30
21 29
20 28
19 27
18 26
17 25
# New slice
30 46
29 45
28 44
27 44
26 43
25 42
24 42
24 41
23 40
22 39
21 38
20 37
19 36
19 35
19 35
20 34
19 33
19 32
19 31
20 30
# New slice
22 1
22 2
23 3
24 4
25 5
24 6
25 7
25 8
24 9
25 10
25 10
24 11
25 12
24 13
23 14
22 15
21 16
20 16
20 16
19 17
# New slice
33 13
32 14
31 15
30 16
29 17
28 18
27 19
26 20
25 21
24 22
23 23
22 24
21 24
21 25
20 25
19 26
18 25
18 24
17 25
16 25
# New slice
37 45
38 44
39 43
40 42
40 41
39 40
39 40
40 39
39 40
39 39
39 40
40 39
40 39
39 39
39 40
40 39
39 40
39 40
40 39
39 40
# New slice
45 36
45 37
44 38
43 39
43 40
42 41
41 41
41 40
40 39
40 39
39 40
40 39
40 40
39 40
40 39
39 40
40 39
39 40
40 40
40 40
# New slice
42 25
41 25
41 26
40 27
39 28
38 29
37 30
36 31
35 32
34 33
33 34
33 34
32 33
31 32
30 31
29 30
28 29
27 30
26 29
25 30
# New slice
11 48
12 47
13 47
14 46
14 45
15 44
16 43
16 43
17 42
18 41
19 41
20 40
19 39
20 38
19 37
20 36
20 35
19 34
20 34
19 33
# New slice
35 19
34 20
33 21
33 22
32 23
31 24
30 25
30 25
29 25
28 26
27 27
26 28
25 29
25 30
24 30
23 29
22 30
22 29
21 30
21 30
# New slice
3 19
4 20
5 21
6 22
6 22
7 23
8 24
9 23
10 24
11 25
12 25
13 24
14 25
15 24
14 25
15 24
14 25
15 24
14 25
15 24
# New slice
36 40
37 39
